date,close
6/29/10,23.89
6/30/10,23.83
7/1/10,21.96
7/2/10,19.2
7/6/10,16.11
7/7/10,15.8
7/8/10,17.46
7/9/10,17.4
7/12/10,17.05
7/13/10,18.14
7/14/10,19.84
7/15/10,19.89
7/16/10,20.64
7/19/10,21.91
7/20/10,20.3
7/21/10,20.22
7/22/10,21
7/23/10,21.29
7/26/10,20.95
7/27/10,20.55
7/28/10,20.72
7/29/10,20.35
7/30/10,19.94
8/2/10,20.92
8/3/10,21.95
8/4/10,21.26
8/5/10,20.45
8/6/10,19.59
8/9/10,19.6
8/10/10,19.03
8/11/10,17.9
8/12/10,17.6
8/13/10,18.32
8/16/10,18.78
8/17/10,19.15
8/18/10,18.77
8/19/10,18.79
8/20/10,19.1
8/23/10,20.13
8/24/10,19.2
8/25/10,19.9
8/26/10,19.75
8/27/10,19.7
8/30/10,19.87
8/31/10,19.48
9/1/10,20.45
9/2/10,21.06
9/3/10,21.05
9/7/10,20.54
9/8/10,20.9
9/9/10,20.71
9/10/10,20.17
9/13/10,20.72
9/14/10,21.12
9/15/10,21.98
9/16/10,20.94
9/17/10,20.23
9/20/10,21.06
9/21/10,20.77
9/22/10,19.87
9/23/10,19.56
9/24/10,20.1
9/27/10,20.53
9/28/10,21.4
9/29/10,21.98
9/30/10,20.41
10/1/10,20.6
10/4/10,20.99
10/5/10,21.12
10/6/10,20.46
10/7/10,20.43
10/8/10,20.43
10/11/10,20.24
10/12/10,20.24
10/13/10,20.54
10/14/10,20.75
10/15/10,20.54
10/18/10,20.23
10/19/10,20.05
10/20/10,20.65
10/21/10,20.75
10/22/10,20.72
10/25/10,20.85
10/26/10,21.36
10/27/10,21
10/28/10,21.19
10/29/10,21.84
11/1/10,21.41
11/2/10,21.25
11/3/10,21.77
11/4/10,24.9
11/5/10,24.44
11/8/10,24.98
11/9/10,24.63
11/10/10,29.36
11/11/10,28.04
11/12/10,29.84
11/15/10,30.8
11/16/10,29.67
11/17/10,29.49
11/18/10,29.89
11/19/10,30.99
11/22/10,33.4
11/23/10,34.57
11/24/10,35.47
11/26/10,35.32
11/29/10,34.33
11/30/10,35.33
12/1/10,34.35
12/2/10,32.35
12/3/10,31.49
12/6/10,30.31
12/7/10,31.56
12/8/10,32.37
12/9/10,32.05
12/10/10,31.52
12/13/10,30.55
12/14/10,28.53
12/15/10,29.6
12/16/10,30.81
12/17/10,31.36
12/20/10,31.7
12/21/10,32.26
12/22/10,32.63
12/23/10,30.09
12/27/10,25.55
12/28/10,26.41
12/29/10,27.73
12/30/10,26.5
12/31/10,26.63
1/3/11,26.62
1/4/11,26.67
1/5/11,26.83
1/6/11,27.88
1/7/11,28.24
1/10/11,28.45
1/11/11,26.96
1/12/11,26.96
1/13/11,26.22
1/14/11,25.75
1/18/11,25.64
1/19/11,24.03
1/20/11,22.62
1/21/11,23.04
1/24/11,24.49
1/25/11,24.68
1/26/11,24.75
1/27/11,24.92
1/28/11,24.01
1/31/11,24.1
2/1/11,23.91
2/2/11,23.94
2/3/11,23.63
2/4/11,23.46
2/7/11,23.07
2/8/11,24.49
2/9/11,23.21
2/10/11,23.22
2/11/11,23.25
2/14/11,23.08
2/15/11,22.84
2/16/11,24.73
2/17/11,23.6
2/18/11,23.18
2/22/11,21.87
2/23/11,21.83
2/24/11,22.53
2/25/11,23.61
2/28/11,23.89
3/1/11,23.94
3/2/11,24.02
3/3/11,24.36
3/4/11,24.95
3/7/11,24.94
3/8/11,24.66
3/9/11,24.72
3/10/11,24.01
3/11/11,24.07
3/14/11,23.25
3/15/11,22.95
3/16/11,22.82
3/17/11,22.81
3/18/11,22.96
3/21/11,22.73
3/22/11,22.19
3/23/11,22.21
3/24/11,22.33
3/25/11,22.75
3/28/11,23.25
3/29/11,23.92
3/30/11,23.71
3/31/11,27.75
4/1/11,26.66
4/4/11,25.83
4/5/11,26.7
4/6/11,26.49
4/7/11,27.24
4/8/11,26.49
4/11/11,25.27
4/12/11,24.65
4/13/11,24.93
4/14/11,25.14
4/15/11,25.58
4/18/11,25.03
4/19/11,25.16
4/20/11,25.75
4/21/11,26.74
4/25/11,26.39
4/26/11,26.93
4/27/11,27.08
4/28/11,27.66
4/29/11,27.6
5/2/11,27.45
5/3/11,26.87
5/4/11,26.69
5/5/11,26.44
5/6/11,27.12
5/9/11,27.91
5/10/11,28.33
5/11/11,27.07
5/12/11,27.67
5/13/11,27.55
5/16/11,26.6
5/17/11,25.96
5/18/11,26.35
5/19/11,28.2
5/20/11,27.97
5/23/11,26.82
5/24/11,26.72
5/25/11,28.98
5/26/11,29.48
5/27/11,29.55
5/31/11,30.14
6/1/11,28.52
6/2/11,28.76
6/3/11,30.13
6/6/11,28.7
6/7/11,28.37
6/8/11,27.12
6/9/11,27.62
6/10/11,27.86
6/13/11,28.43
6/14/11,28.6
6/15/11,27.32
6/16/11,26.5
6/17/11,26.5
6/20/11,26.01
6/21/11,27.53
6/22/11,27.21
6/23/11,27.71
6/24/11,27.57
6/27/11,27.46
6/28/11,28.11
6/29/11,28.29
6/30/11,29.13
7/1/11,29.02
7/5/11,29.14
7/6/11,28.96
7/7/11,29.73
7/8/11,28.81
7/11/11,28.35
7/12/11,28.17
7/13/11,28.64
7/14/11,27.61
7/15/11,27.58
7/18/11,27.23
7/19/11,27.89
7/20/11,28.69
7/21/11,28.7
7/22/11,29.29
7/25/11,28.49
7/26/11,28
7/27/11,27.64
7/28/11,28.17
7/29/11,28.17
8/1/11,28.77
8/2/11,27.34
8/3/11,27.2
8/4/11,24.75
8/5/11,24.24
8/8/11,23.64
